Reviews,Sentiment
 অসাধারণ নিশো বস্ আর অমি ভাইকেও।,positive
" ""এত মোটা বাশ নিতে পারছি না বাবা """,negative
 নাটক আসলেই অসাধারণ,positive
 ফালতু একটা নাটক,negative
 ধুমপান সাস্থর জন্য ক্ষতিকর।,negative
 অভিনয় ভালো হয়নি,negative
 খুব সুন্দর,positive
 অসাধারণ সুন্দর বাস্তবধর্মী একটি গল্প। কাজী আরেফিন ওমি ভাইকে ধন্যবাদ এমন একটি সুন্দর নাটক দর্শকদেরকে উপহার দেয়ার জন্য।,positive
" কত বার দেখছি বলতে পারবোনা, আমি ডাউনলোড করে দেখি মাজে মাজে জখন মনে পড়ে,,,,,, হেবিব নাইচ,,,,",positive
 পরিচালক রে মন টা চাইতাছে লাথি মারিস্টুপিড একটা কাহীনী।,negative
 গল্প টা ব্যাতিক্রম.। অনেক দিন পর ভালো একটা নাটক দেখলাম..বিশেষ করে নিশুর নামাজ পড়া টা ভালো লেগেছে..,positive
এই মসারফ করিম খানকির পুলা।। এ খোন ফালতু নাটক করে,negative
" a very beautiful creation, নাটকটা যে এত সুন্দর হবে সেটা ভাবিনি...",positive
 সব পাগলের দল,negative
 সুপার নাটক মজা পাইছি,positive
" আমাদের দেশ বাংলাদেশ, সব কিছুতেই সেরা",positive
আবালের মতো কেমেরা ঘুরায়,negative
" অসাধারণ,,,, সব সময় অপেক্ষায় থাকি কখন আরফান  নিশো ভাই এর নাটক দেখবো,,,,",positive
 অসাধারন।নাটকে যেই রিসোর্ট টায় ঘুরতে গিয়েছে সেটা কোথায়?কেউ জানলে বলবেন প্লিজ!!!!,positive
ওরে বাবা এসব কি দেখছি বাংলাদেশের নাটকে এসব চলতেছে এখন,negative
 অসাধারণ সুন্দর,positive
" বৃন্দাবন দাশ ভালো করেই জানে দর্শকের চোখের পানি কাকে দিয়ে বের করতে হবে, আর তাই তো শাহনাজ খুশি কে এইরকম এক টা চরিত্র দিয়েছে।।অসাধারণ এক টা নাটক হয়েছে।।",positive
"নাটক টা ভাল করসে। বেশ ভাল। তবে একজন পাইলট ৪ বছরে তার মোবাইলের বেক কভার টা পালটায় না?? মেয়ের বাবা ৩ লাখ সেলারি পায় বলে পাইলটের সাথে মেয়ের বিয়ে দিল। অয়ন খাওয়াবে কি পরাবে কি।কিন্তু সেই দরিদ্র অয়ন এত্ত ব্যায় বহুল পাইলট কোর্স কিভাবে করল?যে ছেলের পাইলট পড়ার ক্ষমতা থাকে সে এমন মেয়ের বাবাকেও বুজাতে পারবে।পরিচালক তার সর্বোচ্চ দিয়েছেন বুজা জাচ্ছে, তবে এসব বিষয় ও দেখা উচিত। শুভ কামনা।",positive
 নাটক পরিচালনক ভাই (ওমি)অসাধারণ হইছে,positive
 অসাধারণ একটি নাটক আরফান নিশো ভাই,positive
এটাকে বলে কিয়ামতের আলামত,negative
 ভাল নাটক,positive
" i love SARWAR TUBE  channel k..shamne aro valo kich dekte chaiআমি এই নাটকে অভিনয় করে অনেক Proud Feel করছি এই কারণে যে, আমি শুধু অভিনয় করে গেছি কিন্তু জানতাম না যে এত সুন্দর একটা Story তেআমি কাজ করছি।এটি গতানুগতিক গল্প থেকে অনেক আলাদা একটা Story, আর unique Story বলতেই হবে। এটা বিশ্বাস করতেই হবে বান্না ভাইয়ের গল্প নির্বাচন আর গল্পের Message অনেক অসাধারণ ছিলো। মানুষের জীবনের সঠিক Message হিসেবে যেটা কাজ করতে পারে যদি তারা বিষয়টা বোঝে। অপূর্ব ভাইয়ার অভিনয়ের কথা কি আর বলতে হয় ? তিনি সব সময় সেরা এতটুকুই তার জন্যে যথেষ্ট। তানজিন তিশা আপুও অসাধারণ অভিনয় করেছে।এবং অন্যরাও যার যার যায়গা থেকে সঠিক অভিনয়টিই করেছে, এতে কােন সন্দেহ নেই। আমার YouTube এর সম্মানিত Fans / Friends রা যারা আছেন সবাইকে বলবো, সবাই এই নাটকটি কেমন লাগলো সুন্দর Comment করে জানাবেন, আর সবাই অবশ্যই Share করবেন। আর এই Channel টি Subscribe করতে ভূলবেন না। ধন্যবাদ সবাইকে।",positive
 সত্যি সেরা ছিলো,positive
 শেষটা খুব সুন্দর ছিলো,positive
" অপূর্বর নাটক ছাড়া আর কারো নাটক দেখি না,,,",positive
বালের নাটক,negative
 লাইফ এর সাথে অনেক বাজে ভাবে মিলে গেসে......#dedicated,negative
" নাটক টা খুব ভালো লেগেছে,,, খুব কস্ট লেগেছে দেখে, দোয়া করি এমন ভাবে যেন কোন বোন তার ভাইয়ের বোঝা না হয়,,",positive
 আমি নাটক টা অনেক বার দেখছি। ভালো লাগে বার বার দেখতে। ভালোবাসার এক টা সেরা নাটক হয়ছে।,positive
 নামাজ যে মানুষ কে এতটা সুন্দর করে গড়ে তুলতে পারে তা এই নাটকে অনেক টা প্রমাণ করে দিল । একটি ধার্মিক মেয়ে পারে একটা অগোছালো ছেলেকে সুন্দর করে গুছিয়ে দিতে ।তানজিন তিশা আপুকে পুরো নাটকে হিজাব পড়া কী যে সুন্দর লাগছিল ভাষায় প্রকাশ করতে পারবোনা । বর্তমান মেয়েদের এই নাটক টা দেখার অনেক অনেক অনুরোধ রইল । তিশা আপু কে  থেকে  নাম্বার দেওয়া হল । তিশা আপু তোমার ভবিষ্যতে সব গুলো নাটকেই হিজাব পড়া চাই ।,positive
ভালো লাগে নাই এই নাটকটা,negative
" কি বলব,,,,বলার ভাষা নাই,,,,অসাধারন",positive
 খুব ভালো লাগলো নাটকটি দেখে।,positive
 এক কথায় অসাধারণ,positive
 ভালো লাগলো।,positive
 জোর করে হাসানোর চেষ্টা কি ফালতু নাটক,negative
 ফালতু ফালতু ফালতু,negative
 শেষের গানটা খুব সুন্দর,positive
 জানি ভাই আপনি আমার কমেন্টটা দেখবে না তারপর অন্তর থেকে ভালোবাসা সব সময় আপনার কাছ থেকে সুন্দর জিনিস আশা করি ভালো থাকবেন সবসময় সালামুআলাইকুম,positive
নাটকটা মোটামুটি ভালো লাগলো বেশি ভালো না,negative
 ভাই নাটক দেখে মনে হলো ইস কেনো জে শেষ হলো,positive
 নিশো তোমায় অনেক অনেক ভালোবাসি।,positive
 দারুণ লাগছে,positive
 একটু বেশি ভালো লাগলো,positive
